id,text,source_url,comment_id,created_at,collection_source,post_text,apify_dataset_id,apify_run_id
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEzMjYwNjg0OTI0NTUwMDg=,Indee our star donor,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEzMjYwNjg0OTI0NTUwMDg=,2026-06-29T16:56:41.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE0OTMxMTQxNzIxMjY3MTg=,The percentage is not percenting 🥴🥴,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE0OTMxMTQxNzIxMjY3MTg=,2026-06-29T16:53:36.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE1MDYwNDgzODcyNjkzNDk=,Target yo ndi 1 billion? Let's share to as many people as we can ambili aone fundraiser yi,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE1MDYwNDgzODcyNjkzNDk=,2026-06-29T16:45:41.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzI3ODMxNjQ2NTg3NDkxMjM=,Boma likuti bus imodzi costs 50 to 60 million. Namadingo according to his calculations izilowa bwanji?,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzI3ODMxNjQ2NTg3NDkxMjM=,2026-06-29T17:04:48.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzI4NTY5ODUxMDYyNjE1OTY3,Great job,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzI4NTY5ODUxMDYyNjE1OTY3,2026-06-29T16:58:40.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEwMzgzMTgyMTkxMzk2NDg=,Mikozi 1 million God bless,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEwMzgzMTgyMTkxMzk2NDg=,2026-06-29T16:52:19.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEwMjI3NDIyMjAzNDcwMTA=,Mikozi donate 3.5 million,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEwMjI3NDIyMjAzNDcwMTA=,2026-06-29T17:09:13.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzIzMzg5Mzc2ODM1NDEyNjY=,Great,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzIzMzg5Mzc2ODM1NDEyNjY=,2026-06-29T16:41:47.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE4NDE3ODg4MzAyOTc4MTc=,God 🙏,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE4NDE3ODg4MzAyOTc4MTc=,2026-06-29T16:59:35.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzg5MDQzOTA3Njc4NjMxMA==,Blessings family📷🔥,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzg5MDQzOTA3Njc4NjMxMA==,2026-06-29T16:58:59.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE4NDE3ODg4MzAyOTc4MTc=,God 🙏,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE4NDE3ODg4MzAyOTc4MTc=,2026-06-29T16:59:35.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzg5MDQzOTA3Njc4NjMxMA==,Blessings family📷🔥,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzg5MDQzOTA3Njc4NjMxMA==,2026-06-29T16:58:59.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEwMDg3MzQ0NDU0NjM5Njg=,Good mission #Mikonzi,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEwMDg3MzQ0NDU0NjM5Njg=,2026-06-29T16:55:57.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE2NTUwNTkyMTI0NDM5MzM=,Zathek kale,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE2NTUwNTkyMTI0NDM5MzM=,2026-06-29T16:41:52.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE2NTI5OTY4MzU5OTkwNjY=,Every one knows amt of money,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE2NTI5OTY4MzU5OTkwNjY=,2026-06-29T17:06:03.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzQ0MDg0Mzg4MTkzOTY4NjQ=,Bolatu pamenepo,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzQ0MDg0Mzg4MTkzOTY4NjQ=,2026-06-29T16:47:05.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzk4NDA3MTk0NDQyMTU1Mg==,Kodi aku South Africa ife tingaponye bwanji? This is so touching .,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzk4NDA3MTk0NDQyMTU1Mg==,2026-06-29T16:43:44.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEzNzc3MjE5MzQ0MDk1MTM=,"Namadingo 2mita🥳🥳🥳,,mikozi 1 mita🥳🥳",https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEzNzc3MjE5MzQ0MDk1MTM=,2026-06-29T17:01:44.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEwMzY4NjgxNTU3NTM1Mzk=,Malebo akuyakhulisa km 🤣🤣🙌🏿,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEwMzY4NjgxNTU3NTM1Mzk=,2026-06-29T16:55:26.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE1MjI0MTkzMTU2OTc5MzQ=,Mukuonatu nde muzapiteso paja simuva,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE1MjI0MTkzMTU2OTc5MzQ=,2026-06-29T16:51:17.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzQ0MDg0Mzg4MTkzOTY4NjQ=,Bolatu pamenepo,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzQ0MDg0Mzg4MTkzOTY4NjQ=,2026-06-29T16:47:05.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzk4NDI4NTA3MTA4ODUxNA==,Namafanz God bless you 🙏🏾,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzk4NDI4NTA3MTA4ODUxNA==,2026-06-29T16:42:52.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEzNzc3MjE5MzQ0MDk1MTM=,"Namadingo 2mita🥳🥳🥳,,mikozi 1 mita🥳🥳",https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEzNzc3MjE5MzQ0MDk1MTM=,2026-06-29T17:01:44.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEwMzY4NjgxNTU3NTM1Mzk=,Malebo akuyakhulisa km 🤣🤣🙌🏿,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEwMzY4NjgxNTU3NTM1Mzk=,2026-06-29T16:55:26.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzk5OTU5ODI2OTcyMjk4NA==,Komatu Doc ndiwanzelu koopswa,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzk5OTU5ODI2OTcyMjk4NA==,2026-06-29T16:44:05.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEwNjMwOTE0MDYxMzI4MTE=,Mikozi inu za 1k ayi koma Mita eti😁😁😁 God bless you,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEwNjMwOTE0MDYxMzI4MTE=,2026-06-29T16:54:22.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzI2NDgyNzU4NDY4MDYzODU1,Kod ineso simungandisokhele 😂,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzI2NDgyNzU4NDY4MDYzODU1,2026-06-29T17:08:49.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE1MjI0MTkzMTU2OTc5MzQ=,Mukuonatu nde muzapiteso paja simuva,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE1MjI0MTkzMTU2OTc5MzQ=,2026-06-29T16:51:17.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEzNDMzNTA1MjcyMDg1ODQ=,Kabwira naye apelekeko osamangoti mukativotele 2030,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzEzNDMzNTA1MjcyMDg1ODQ=,2026-06-29T17:05:47.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE1NTA0NjI5MjY3MDA5MTc=,Namadingo kupita kukaendera anthu kumuposa  president komanso nduna  zake ndithu .,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzE1NTA0NjI5MjY3MDA5MTc=,2026-06-29T17:07:42.000Z,apify/facebook-comments-scraper,,,
Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzIzNzM1OTE5MTMxNTE2NzI=,Mulungu adalise pomwe zachoka,https://web.facebook.com/share/p/1BHr7fE4z4/,Y29tbWVudDoxNDc3MTkzMDIxMTExNTUzXzIzNzM1OTE5MTMxNTE2NzI=,2026-06-29T17:05:12.000Z,apify/facebook-comments-scraper,,,
